R,Z,A_phi,Br,Bz
4.888624184476453860e-01,-5.674881246744332974e-03,7.275706079521446212e-02,6.420913061548951797e-04,5.145748894941817170e-02
4.898872875703131347e-01,-7.347315653655913346e-03,7.292233877557681432e-02,8.480509730073392373e-04,5.133018544816333323e-02
4.911611652351681734e-01,-8.838834764831843965e-03,7.312599405583071477e-02,1.044559467098193917e-03,5.117426994777696247e-02
4.926526843463440719e-01,-1.011271242968684279e-02,7.336826227323289817e-02,1.187492616694393963e-03,5.100900993526590044e-02
4.943251187532556878e-01,-1.113758155235459839e-02,7.363712616061768301e-02,1.305702829666090985e-03,5.081792218879026268e-02
4.961372875703131680e-01,-1.188820645368941949e-02,7.392623559745985229e-02,1.401292935342668064e-03,5.060303259812456295e-02
4.980445691869971325e-01,-1.234610425743922109e-02,7.422970283127659774e-02,1.470180006213864026e-03,5.037226421577979674e-02
5.000000000000000000e-01,-1.250000000000000069e-02,7.453766053592950080e-02,1.493796988809291968e-03,5.015298699078576949e-02
5.019554308130028675e-01,-1.234610425743922282e-02,7.484476221650983307e-02,1.455492342042806041e-03,4.994445141525029330e-02
5.038627124296868320e-01,-1.188820645368942122e-02,7.514382267981684072e-02,1.381712268597169897e-03,4.973861395526318202e-02
5.056748812467443122e-01,-1.113758155235460012e-02,7.542734188393325490e-02,1.274273478742600930e-03,4.954054301222292345e-02
5.073473156536558726e-01,-1.011271242968684453e-02,7.568631925546442929e-02,1.143397569337119106e-03,4.934155565048994885e-02
5.088388347648318266e-01,-8.838834764831845700e-03,7.591320243233845577e-02,9.569245140806390080e-04,4.919936466766206690e-02
5.101127124296868098e-01,-7.347315653655917683e-03,7.611005001186185726e-02,7.669342716472037948e-04,4.909484672538678290e-02
5.111375815523545585e-01,-5.674881246744337311e-03,7.626941202012839371e-02,5.729878912945030002e-04,4.899943738399432230e-02
5.118882064536893761e-01,-3.862712429686845916e-03,7.638591882246704989e-02,3.705085142534327762e-04,4.892857850556762978e-02
5.123461042574392055e-01,-1.955430813002888724e-03,7.645545201745147790e-02,1.960830205180812114e-04,4.886141536938259228e-02
5.174999999999999600e-01,0.000000000000000000e+00,7.726172191492523822e-02,9.589076909507784441e-05,4.821376220344850139e-02
5.172845459604149543e-01,2.737603138204040571e-03,7.723071877404798224e-02,-2.877787073301289115e-04,4.822716674670474157e-02
5.166434890351652154e-01,5.407797401561579773e-03,7.713144891236164979e-02,-6.566596318538617423e-04,4.829118945086759151e-02
5.155926141732964929e-01,7.944833745442069287e-03,7.697409452931301688e-02,-9.594518048059775574e-04,4.840911188835737150e-02
5.141577974015615338e-01,1.028624191511828129e-02,7.675559551161588445e-02,-1.239888347457294895e-03,4.856483307010193290e-02
5.123743686707645795e-01,1.237436867076458294e-02,7.648259554323508236e-02,-1.491158609004551022e-03,4.875646167267645020e-02
5.102862419151182882e-01,1.415779740156158234e-02,7.616717409543041772e-02,-1.674660199762346979e-03,4.899733184341664716e-02
5.079448337454420814e-01,1.559261417329643740e-02,7.580605283522623417e-02,-1.862833860687538971e-03,4.933349890363310924e-02
5.054077974015616093e-01,1.664348903516518763e-02,7.541369109925673275e-02,-1.969306955381279825e-03,4.967240360286671874e-02
5.027376031382040367e-01,1.728454596041491265e-02,7.499496163538940663e-02,-2.047364855842427177e-03,4.997232963291906721e-02
5.000000000000000000e-01,1.750000000000000167e-02,7.456153225874284640e-02,-2.090331789148231097e-03,5.023621686840713807e-02
4.972623968617959633e-01,1.728454596041491265e-02,7.412820740131324804e-02,-2.079017917338314963e-03,5.049694971952538303e-02
4.945922025984384462e-01,1.664348903516519110e-02,7.370591615682629827e-02,-1.999392939864837009e-03,5.077611551325775241e-02
4.920551662545579186e-01,1.559261417329643913e-02,7.329688832932407250e-02,-1.851070133112619033e-03,5.107251936783405166e-02
4.897137580848817118e-01,1.415779740156158234e-02,7.291716969922139302e-02,-1.651872131134837990e-03,5.135022460597968991e-02
4.876256313292354205e-01,1.237436867076458294e-02,7.257722781090286679e-02,-1.404161481313194069e-03,5.160715870727927701e-02
4.858422025984384107e-01,1.028624191511828302e-02,7.229121297761001430e-02,-1.150069763089379103e-03,5.180707098309587921e-02
4.844073858267035626e-01,7.944833745442071021e-03,7.205606455490592976e-02,-8.807321991154701615e-04,5.201001990786152662e-02
4.833565109648347846e-01,5.407797401561581507e-03,7.188117653364475834e-02,-5.848920852842928080e-04,5.217045886146790684e-02
4.827154540395851012e-01,2.737603138204042306e-03,7.177920326720003963e-02,-2.957930191924703993e-04,5.225463236356767127e-02
4.824999999999999845e-01,2.143131898507868374e-18,7.174359960691777116e-02,3.648808075948957983e-06,5.228536916953104019e-02
4.827154540395851012e-01,-2.737603138204037969e-03,7.177592062993726207e-02,3.056828058784694167e-04,5.226450509732304822e-02
4.833565109648347846e-01,-5.407797401561571099e-03,7.188355565122422908e-02,6.145544789232922035e-04,5.218121786829067049e-02
4.844073858267035626e-01,-7.944833745442067552e-03,7.205610658480393615e-02,8.948460411947729929e-04,5.204278111985200655e-02
4.858422025984384107e-01,-1.028624191511827955e-02,7.228994235519510536e-02,1.150175341181476976e-03,5.185845881483123337e-02
4.876256313292354205e-01,-1.237436867076458120e-02,7.258073262362280120e-02,1.382948177739000981e-03,5.165049110675244692e-02
4.897137580848817118e-01,-1.415779740156158061e-02,7.291922851493776170e-02,1.579297177668240052e-03,5.142365921388729333e-02
4.920551662545579186e-01,-1.559261417329643740e-02,7.329681606416649231e-02,1.725270164288029897e-03,5.116388866259111157e-02
4.945922025984383907e-01,-1.664348903516518763e-02,7.370647686584505531e-02,1.843792115470917030e-03,5.087311094036958692e-02
4.972623968617959633e-01,-1.728454596041490918e-02,7.413131559250800418e-02,1.938856844304374981e-03,5.055820270652001958e-02
5.000000000000000000e-01,-1.750000000000000167e-02,7.456274854325291301e-02,2.001605600125092033e-03,5.023570873043647217e-02
5.027376031382040367e-01,-1.728454596041491265e-02,7.499530098443193959e-02,2.028205630053969873e-03,4.989858429306307658e-02
5.054077974015616093e-01,-1.664348903516519110e-02,7.540967785660920852e-02,1.947326402806626037e-03,4.957873463403523334e-02
5.079448337454420814e-01,-1.559261417329644087e-02,7.580458447728627425e-02,1.811860807018372040e-03,4.927467932196841899e-02
5.102862419151182882e-01,-1.415779740156158407e-02,7.616725893058337582e-02,1.618733818995713933e-03,4.900502359008968717e-02
5.123743686707645795e-01,-1.237436867076458641e-02,7.648290869532342606e-02,1.332423576116235995e-03,4.881700770340716145e-02
5.141577974015615338e-01,-1.028624191511828476e-02,7.675381868843077215e-02,1.030902919309369071e-03,4.866731547127860213e-02
5.155926141732964929e-01,-7.944833745442072756e-03,7.697521205110968712e-02,7.824081884158253213e-04,4.852911472738385967e-02
5.166434890351652154e-01,-5.407797401561584977e-03,7.713456580331405632e-02,5.876723693070816813e-04,4.837593766592918065e-02
5.172845459604149543e-01,-2.737603138204044474e-03,7.722921440572513840e-02,3.709094728052429236e-04,4.827367757372161283e-02
5.224999999999999645e-01,0.000000000000000000e+00,7.804384875110507991e-02,5.215119356105038951e-05,4.765327810380085710e-02
5.222229876633905921e-01,3.519775463405194586e-03,7.800111821201737017e-02,-3.925936643871503844e-04,4.768170967669992100e-02
5.213987716166409436e-01,6.952882373436316231e-03,7.787943124724520938e-02,-8.289981128526381030e-04,4.777796271329059347e-02
5.200476467942383163e-01,1.021478624413980213e-02,7.768020015535216649e-02,-1.217886095021879960e-03,4.794154374947733749e-02
5.182028823734363687e-01,1.322516817658064489e-02,7.740352106648448749e-02,-1.567671734560112037e-03,4.813539559265189727e-02
5.159099025766973323e-01,1.590990257669731844e-02,7.705917127147920986e-02,-1.865748878600951080e-03,4.835175718811356160e-02
5.132251681765805928e-01,1.820288237343631668e-02,7.665292532864576014e-02,-2.075324728216984028e-03,4.864925380680575756e-02
5.102147862441398507e-01,2.004764679423827467e-02,7.619370630727584359e-02,-2.225761799644709969e-03,4.902631225273997723e-02
5.069528823734362755e-01,2.139877161664095404e-02,7.568844608593908174e-02,-2.429677257662399975e-03,4.947842388230296040e-02
5.035197754634052059e-01,2.222298766339059900e-02,7.515529651682736900e-02,-2.587033358714841986e-03,4.985896512255198754e-02
5.000000000000000000e-01,2.249999999999999917e-02,7.459994426145964697e-02,-2.705502205312276982e-03,5.016985806257059227e-02
4.964802245365947941e-01,2.222298766339059900e-02,7.404374843232346126e-02,-2.655526924028703013e-03,5.054285789348784280e-02
4.930471176265636690e-01,2.139877161664095750e-02,7.349640157935127815e-02,-2.534069982170704914e-03,5.095072555724024232e-02
4.897852137558602048e-01,2.004764679423827814e-02,7.296451692715542892e-02,-2.428189683673359980e-03,5.139826083684501806e-02
4.867748318234193516e-01,1.820288237343631668e-02,7.247864835553144425e-02,-2.174131368561247214e-03,5.174742156370301660e-02
4.840900974233026677e-01,1.590990257669731844e-02,7.204230264533856287e-02,-1.860422791168407078e-03,5.204286241799095658e-02
4.817971176265636868e-01,1.322516817658064836e-02,7.166182079830542284e-02,-1.510267904054523984e-03,5.228989069268402679e-02
4.799523532057617392e-01,1.021478624413980386e-02,7.135619728725708932e-02,-1.198993711525973968e-03,5.251477553414259092e-02
4.786012283833590564e-01,6.952882373436318833e-03,7.113184423990739913e-02,-8.239640120742029120e-04,5.271744197220813721e-02
4.777770123366094079e-01,3.519775463405196755e-03,7.099581831901502493e-02,-4.262523960816009053e-04,5.283816745923401031e-02
4.774999999999999800e-01,2.755455298081544778e-18,7.095015052918408893e-02,-1.827907808329152020e-05,5.287257921966428270e-02
4.777770123366094079e-01,-3.519775463405191117e-03,7.099684306905461317e-02,3.918822238032058122e-04,5.284097200836639779e-02
4.786012283833590564e-01,-6.952882373436304955e-03,7.113357925042403107e-02,8.054380257272718844e-04,5.274094908389592717e-02
4.799523532057617392e-01,-1.021478624413979866e-02,7.135827406637923476e-02,1.184300058819354011e-03,5.257578271904902317e-02
4.817971176265636868e-01,-1.322516817658064316e-02,7.166295567309735604e-02,1.512249034357533977e-03,5.233978041357389283e-02
4.840900974233026677e-01,-1.590990257669731844e-02,7.203905268943461282e-02,1.820472546529693959e-03,5.206996236696011249e-02
4.867748318234193516e-01,-1.820288237343631321e-02,7.247929252852136628e-02,2.122666377166341177e-03,5.179339025714212175e-02
4.897852137558602048e-01,-2.004764679423827467e-02,7.296878862547395705e-02,2.351509904333146887e-03,5.147186902559119925e-02
4.930471176265636690e-01,-2.139877161664095404e-02,7.349214847492109570e-02,2.473237885967108796e-03,5.109099521693939716e-02
4.964802245365947941e-01,-2.222298766339059553e-02,7.404415054538300567e-02,2.528158128979397009e-03,5.066467346014866951e-02
5.000000000000000000e-01,-2.249999999999999917e-02,7.460305841318425057e-02,2.605833251431881933e-03,5.023015121282564666e-02
5.035197754634052059e-01,-2.222298766339059900e-02,7.515408268562355498e-02,2.580001086219729008e-03,4.981357112056170738e-02
5.069528823734362755e-01,-2.139877161664095750e-02,7.568899050132073258e-02,2.485510577092276980e-03,4.940398159950504242e-02
5.102147862441398507e-01,-2.004764679423827814e-02,7.619260427228902177e-02,2.327732207391130202e-03,4.902230996708432931e-02
5.132251681765805928e-01,-1.820288237343632015e-02,7.665015692632867750e-02,2.119002048470174961e-03,4.868476718887246313e-02
5.159099025766973323e-01,-1.590990257669732191e-02,7.705490690367594597e-02,1.799611165972065090e-03,4.842067831071014683e-02
5.182028823734363687e-01,-1.322516817658065010e-02,7.740242263735724881e-02,1.358983679771512106e-03,4.822548507449805205e-02
5.200476467942383163e-01,-1.021478624413980733e-02,7.767936828675883754e-02,1.079170794426763912e-03,4.796726250855205820e-02
5.213987716166409436e-01,-6.952882373436322302e-03,7.788310450705358823e-02,8.180753203705053286e-04,4.777485235664646196e-02
5.222229876633905921e-01,-3.519775463405199357e-03,7.800106053710602338e-02,4.661791799289698862e-04,4.768098476318115286e-02
5.274999999999999689e-01,0.000000000000000000e+00,7.882861867460849714e-02,-2.772542418548496837e-05,4.708579920563717158e-02
5.271614293663663409e-01,4.301947788606349035e-03,7.877345072660128789e-02,-5.038324966825394541e-04,4.712740603166266917e-02
5.261540541981166719e-01,8.497967345311052689e-03,7.862998751155815536e-02,-9.282525463955655816e-04,4.721628464267382114e-02
5.245026794151801397e-01,1.248473874283753497e-02,7.838361723681644411e-02,-1.362766698241341980e-03,4.738773993638491222e-02
