R,Z,A_phi,Br,Bz
5.595721835952170986e-01,1.376631938525971766e-01,8.752498241165534987e-02,-1.597025094684374064e-02,4.374689967847392863e-02
5.552186829027017101e-01,1.394664728832376854e-01,8.695345340293959835e-02,-1.625591414389744929e-02,4.431607536255557228e-02
5.508106880367936720e-01,1.411321153431338016e-01,8.636795024863118397e-02,-1.656056168545018067e-02,4.490840537082693013e-02
5.463525491562420955e-01,1.426584774442730130e-01,8.576131396201468193e-02,-1.695600582306856091e-02,4.557644508325951749e-02
5.418486659058844301e-01,1.440440528515414265e-01,8.513834582533369444e-02,-1.730777194944315908e-02,4.620326815302872037e-02
5.373034830747281942e-01,1.452874741692946614e-01,8.448942269768985880e-02,-1.759180660230770868e-02,4.688159619469377953e-02
5.327214862094814540e-01,1.463875142908120930e-01,8.383256058143431777e-02,-1.785246343910721137e-02,4.761536033504090715e-02
5.281071971878587012e-01,1.473430876093032860e-01,8.314940281817501111e-02,-1.800442525479429082e-02,4.827103176841111842e-02
5.234651697560346317e-01,1.481532510892706600e-01,8.245560412129669670e-02,-1.823180431819064126e-02,4.888130652059680115e-02
5.187999850346456387e-01,1.488172051971716481e-01,8.174006062746357049e-02,-1.848420873535798828e-02,4.952381488667408072e-02
5.141162469977771377e-01,1.493342946904619994e-01,8.101730764620096448e-02,-1.857085851682345121e-02,5.033580878232579714e-02
5.094185779293970429e-01,1.497040092642407394e-01,8.026800668496117397e-02,-1.859897133101322958e-02,5.095883587707428219e-02
5.047116138617192549e-01,1.499259840548597400e-01,7.951288952137658406e-02,-1.861632704610613129e-02,5.160770041334403202e-02
5.000000000000000000e-01,1.499999999999999944e-01,7.874288651231857450e-02,-1.865389288223141123e-02,5.239206323470148308e-02
4.952883861382807451e-01,1.499259840548597400e-01,7.796316208305158202e-02,-1.862509400423649139e-02,5.311166567112444309e-02
4.905814220706030127e-01,1.497040092642407394e-01,7.717294393527630858e-02,-1.854405183367379903e-02,5.371878189088571953e-02
4.858837530022228623e-01,1.493342946904619994e-01,7.637080925176820134e-02,-1.850852533767205835e-02,5.439210641896131959e-02
4.812000149653543613e-01,1.488172051971716758e-01,7.556473552184088394e-02,-1.847795439768194076e-02,5.505589166363906301e-02
4.765348302439653683e-01,1.481532510892706600e-01,7.475036959093370181e-02,-1.834684870948483093e-02,5.559188761654484945e-02
4.718928028121412988e-01,1.473430876093033137e-01,7.393569956237262819e-02,-1.817254996863498090e-02,5.617906303640485266e-02
4.672785137905186570e-01,1.463875142908121207e-01,7.311628997300656518e-02,-1.801505283472858154e-02,5.683910354615222260e-02
4.626965169252717502e-01,1.452874741692946614e-01,7.229126277993967731e-02,-1.786870426095365019e-02,5.741976886147760750e-02
4.581513340941156254e-01,1.440440528515414542e-01,7.146819397218560910e-02,-1.769458689217651842e-02,5.795830364640913029e-02
4.536474508437579045e-01,1.426584774442730408e-01,7.064647543746545300e-02,-1.750191604549831970e-02,5.848494480286438313e-02
4.491893119632062725e-01,1.411321153431338016e-01,6.982967456459908406e-02,-1.724832002966640923e-02,5.897246190395957072e-02
4.447813170972983454e-01,1.394664728832377132e-01,6.901563762780808797e-02,-1.698296010804102932e-02,5.948255467821989689e-02
4.404278164047829014e-01,1.376631938525971766e-01,6.820926975150440330e-02,-1.671599535368285122e-02,6.002473809625315931e-02
4.361331062652391011e-01,1.357240578699029088e-01,6.740333103596100883e-02,-1.641810456943305907e-02,6.043939875806394330e-02
4.319014250390679766e-01,1.336509786282551737e-01,6.661571016727108052e-02,-1.607504627318153897e-02,6.081777221925194904e-02
4.277369488847426737e-01,1.314460020065795209e-01,6.583478378242919871e-02,-1.581637647361254853e-02,6.128032264662951201e-02
4.236437876374443134e-01,1.291113040505915410e-01,6.506279843374573879e-02,-1.551469158065241043e-02,6.171993170815891216e-02
4.196259807531504959e-01,1.266491888253022391e-01,6.430474683489166565e-02,-1.509504171354491067e-02,6.201915552314964802e-02
4.156874933221804125e-01,1.240620861411842468e-01,6.355875198944611892e-02,-1.479919925260687018e-02,6.242864107769303950e-02
4.118322121561290294e-01,1.213525491562421066e-01,6.282752264871330206e-02,-1.454524372105869996e-02,6.287410013676909826e-02
4.080639419520535327e-01,1.185232518563535398e-01,6.211328053439626323e-02,-1.412677089301569988e-02,6.316842806433217716e-02
4.043864015376965604e-01,1.155769864163683769e-01,6.141642863881908304e-02,-1.367575556512238069e-02,6.343251356964281495e-02
4.008032202014522594e-01,1.125166604445689278e-01,6.073289469079253683e-02,-1.336618124048758946e-02,6.380873289501773349e-02
3.973179341106967133e-01,1.093452941132117134e-01,6.007011839945355230e-02,-1.297633681962936068e-02,6.413112838735457455e-02
3.939339828220178585e-01,1.060660171779821276e-01,5.942544985045936784e-02,-1.253787093871319008e-02,6.441421028565751106e-02
3.906547058867883004e-01,1.026820658893033283e-01,5.880138269965064918e-02,-1.210897281416340940e-02,6.467217043087428174e-02
3.874833395554310722e-01,9.919677979854776839e-02,5.819668558180132040e-02,-1.168215561170827047e-02,6.492041329655014181e-02
3.844230135836316231e-01,9.561359846230348125e-02,5.761389037535152857e-02,-1.136149786812567022e-02,6.518927752692198208e-02
3.814767481436464602e-01,9.193605804794645342e-02,5.705181495670028080e-02,-1.100622078885758054e-02,6.544987177933561662e-02
3.786474508437578934e-01,8.816778784387098444e-02,5.651139794837650027e-02,-1.058425566781215008e-02,6.569339590717039601e-02
3.759379138588157532e-01,8.431250667781961528e-02,5.599839193251673203e-02,-1.002545739812263012e-02,6.587219261938866144e-02
3.733508111746978164e-01,8.037401924684954568e-02,5.550529398163397965e-02,-9.468622123815873676e-03,6.607093547857983973e-02
3.708886959494084312e-01,7.635621236255565880e-02,5.503908509652911257e-02,-9.030962474906839565e-03,6.624033762005712700e-02
3.685539979934204791e-01,7.226305111525728464e-02,5.459304006132442710e-02,-8.583552276204576073e-03,6.638129174395562826e-02
3.663490213717448540e-01,6.809857496093202345e-02,5.417494422646763202e-02,-8.135436114441009850e-03,6.659784038221772118e-02
3.642759421300970635e-01,6.386689373476092668e-02,5.378032763696768276e-02,-7.656272605364979056e-03,6.677781307929846200e-02
3.623368061474028790e-01,5.957218359521715412e-02,5.341354002606456264e-02,-7.113828249401589650e-03,6.689606669227488034e-02
3.605335271167623423e-01,5.521868290270171703e-02,5.307204573158991190e-02,-6.570663783483729307e-03,6.700418224624632435e-02
3.588678846568661984e-01,5.081068803679369278e-02,5.275604407317816685e-02,-6.070661835210039783e-03,6.717915082014611072e-02
3.573415225557269870e-01,4.635254915624212324e-02,5.246583920923889727e-02,-5.553604561510739127e-03,6.734548123171646417e-02
3.559559471484585735e-01,4.184866590588443014e-02,5.220352980533206344e-02,-5.003919392415944259e-03,6.746311508802990686e-02
3.547125258307053386e-01,3.730348307472828445e-02,5.196681805852711861e-02,-4.452677664937275751e-03,6.754320450889218785e-02
3.536124857091879070e-01,3.272148620948141240e-02,5.175911465817172735e-02,-3.894072538991267141e-03,6.770171882097818228e-02
3.526569123906966863e-01,2.810719718785868390e-02,5.157900021024607040e-02,-3.376077136327515146e-03,6.775608621756615269e-02
3.518467489107293678e-01,2.346516975603464561e-02,5.142376984148196162e-02,-2.796187705984248817e-03,6.776186088576753586e-02
3.511827948028283242e-01,1.879998503464568038e-02,5.130001796990559665e-02,-2.193943841830958957e-03,6.779485190500886271e-02
3.506657053095380006e-01,1.411624699777715153e-02,5.120310251875682256e-02,-1.630876991849223049e-03,6.784079688200775338e-02
3.502959907357592328e-01,9.418577929397037654e-03,5.113408459979749271e-02,-1.088330287667711900e-03,6.790972442667994602e-02
3.500740159451402600e-01,4.711613861719234943e-03,5.109105590132188845e-02,-5.466211898723578096e-04,6.794703367430791896e-02
3.499999999999999778e-01,1.836970198721029749e-17,5.107874258673961165e-02,-2.532352244193790208e-06,6.795660054616199652e-02
3.500740159451402600e-01,-4.711613861719198514e-03,5.109223204272383273e-02,5.484103024523560637e-04,6.794048226922341782e-02
3.502959907357592328e-01,-9.418577929397001225e-03,5.113401130945999240e-02,1.159578633027698921e-03,6.789657029254178577e-02
3.506657053095380006e-01,-1.411624699777711510e-02,5.120340330293952219e-02,1.760711572613809107e-03,6.785779856204296467e-02
3.511827948028283242e-01,-1.879998503464564222e-02,5.130428314143339191e-02,2.322704394575484787e-03,6.783226418986042228e-02
3.518467489107293122e-01,-2.346516975603460745e-02,5.142554407565948227e-02,2.850815007179569906e-03,6.775823468078341627e-02
3.526569123906967418e-01,-2.810719718785871513e-02,5.158276766508113759e-02,3.389250635500876217e-03,6.767800709005961091e-02
3.536124857091879070e-01,-3.272148620948137770e-02,5.176204960728191667e-02,3.926352958132712200e-03,6.757718744789589782e-02
3.547125258307053386e-01,-3.730348307472818731e-02,5.196962399197203181e-02,4.477924554120807712e-03,6.748074316424206021e-02
3.559559471484585180e-01,-4.184866590588433299e-02,5.220603079783135703e-02,4.991266069690074303e-03,6.737308173636022413e-02
3.573415225557269315e-01,-4.635254915624208855e-02,5.246576570035631909e-02,5.554950729400889853e-03,6.732205003248087349e-02
3.588678846568661984e-01,-5.081068803679372053e-02,5.275853564676159096e-02,6.066496416242167684e-03,6.722491810495064002e-02
3.605335271167622868e-01,-5.521868290270168927e-02,5.307166459414069254e-02,6.526519120857970924e-03,6.707263208623635842e-02
3.623368061474028234e-01,-5.957218359521705697e-02,5.341415430831358141e-02,7.038801765617143380e-03,6.693859086435811900e-02
